"task","user","slide","x","y","bb","type","timestamp"
"task1","samindi123","s3","608.6399256254596","361.98226058123646","hands","S","1651595895703"
"task1","samindi123","s3","525.6894053000373","352.2489277868581","hands","S","1651595895764"
"task1","samindi123","s3","470.61952957885313","334.5602147285764","none","none","1651595895822"
"task1","samindi123","s3","502.9929066305732","313.2150701974729","none","none","1651595895880"
"task1","samindi123","s3","519.4576519523498","277.6128546504796","none","none","1651595895933"
"task1","samindi123","s3","507.576786296323","265.6372560031715","none","none","1651595895979"
"task1","samindi123","s3","499.8923286687015","257.3652306085675","none","none","1651595896030"
"task1","samindi123","s3","509.48203024242497","246.65904709297885","none","none","1651595896074"
"task1","samindi123","s3","438.01512186275835","234.53299095975447","none","none","1651595896152"
"task1","samindi123","s3","535.0825012934556","221.91105629466682","none","none","1651595896219"
"task1","samindi123","s3","577.7378637694715","247.82601895198874","none","none","1651595896262"
"task1","samindi123","s3","593.0492321485319","234.23901351509468","none","none","1651595896324"
"task1","samindi123","s3","635.3531456652369","175.66854064789646","head","S","1651595896427"
"task1","samindi123","s3","623.4392793212396","178.6741961737295","head","S","1651595896474"
"task1","samindi123","s3","620.0207088487127","137.76762377492042","head","S","1651595896535"
"task1","samindi123","s3","650.1093962895418","100.29757633447963","none","none","1651595896580"
"task1","samindi123","s3","651.2759628384038","111.49422889811021","none","none","1651595896642"
"task1","samindi123","s3","618.5385323087055","148.17183940928737","head","S","1651595896689"
"task1","samindi123","s3","650.2886298363218","155.45966730925645","head","S","1651595896760"
"task1","samindi123","s3","583.1264767612402","236.33294993539607","none","none","1651595896827"
"task1","samindi123","s3","625.0511191174348","242.35907084154667","head","S","1651595896902"
"task1","samindi123","s3","520.1619776612191","288.77319157609554","hands","S","1651595896976"
"task1","samindi123","s3","503.509391609166","338.924120080887","none","none","1651595897035"
"task1","samindi123","s4","887.5793494154456","447.9030449741804","wheel2","H","1651595902127"
"task1","samindi123","s4","828.9019389640243","385.67319745043886","car","H","1651595902171"
"task1","samindi123","s4","783.3064977950534","371.8513060470235","car","H","1651595902242"
"task1","samindi123","s4","812.9417714130957","341.0153709057313","car","H","1651595902313"
"task1","samindi123","s4","866.0537482409367","323.25435674985766","wheel2","H","1651595902370"
"task1","samindi123","s4","826.3134292175349","287.67043270984425","car","H","1651595902441"
"task1","samindi123","s4","751.5514376511185","265.8629094329848","car","H","1651595902500"
"task1","samindi123","s4","659.388642200028","297.3151529418798","car","H","1651595902556"
"task1","samindi123","s4","655.3014781644699","264.0499930751299","car","H","1651595902615"
"task1","samindi123","s4","542.4569176689376","258.04112476269256","car","H","1651595902674"
"task1","samindi123","s4","416.4334887031635","239.8896023323441","car","H","1651595902744"
"task1","samindi123","s4","354.34541196450357","250.97657594533592","car","H","1651595902797"
"task1","samindi123","s4","247.67896218023927","273.06416855704407","none","none","1651595902865"
"task1","samindi123","s4","250.98562266003336","260.83792231971944","none","none","1651595902911"
"task1","samindi123","s4","282.530713949321","275.1199069409681","car","H","1651595902964"
"task1","samindi123","s4","396.1922624245526","305.9930932118783","car","H","1651595903029"
"task1","samindi123","s4","425.1894075550414","322.32012402179714","car","H","1651595903076"
"task1","samindi123","s4","545.8685997557028","325.67568958643653","car","H","1651595903147"
"task1","samindi123","s4","638.5448824435912","323.2326989572853","car","H","1651595903191"
"task1","samindi123","s4","715.9801165198697","320.8253821869729","car","H","1651595903250"
"task1","samindi123","s4","785.8991651809886","327.17678529242596","car","H","1651595903300"
"task1","samindi123","s4","855.5951724890876","326.1322822313969","car","H","1651595903352"
"task1","samindi123","s4","837.0481612190362","308.24871807985573","car","H","1651595903400"
"task1","samindi123","s4","812.3093085519719","270.60932065887147","car","H","1651595903448"
"task1","samindi123","s4","809.5181778455217","280.8923673327458","car","H","1651595903497"
"task1","samindi123","s4","842.8590511771688","324.9386227070112","car","H","1651595903548"
"task1","samindi123","s4","888.2738769773233","328.56319725384674","wheel2","H","1651595903599"
"task1","samindi123","s4","924.367748254515","331.296069921128","wheel2","H","1651595903645"
"task1","samindi123","s4","936.7078270026452","308.1365703688465","car","H","1651595903697"
"task1","samindi123","s4","894.3975041116379","307.46800871963484","car","H","1651595903761"
"task1","samindi123","s4","834.9384495659851","298.3585388721151","car","H","1651595903820"
"task1","samindi123","s4","814.128033404037","323.42329025466483","car","H","1651595903897"
"task1","samindi123","s4","804.6614578381227","309.1063929261487","car","H","1651595903958"
"task1","samindi123","s4","785.3616176571182","290.68955156217856","car","H","1651595904022"
"task1","samindi123","s4","661.8092149363441","305.7058881884289","car","H","1651595904101"
