"task","user","slide","x","y","bb","type","timestamp"
"task1","minaya23","s1","496.7736211577593","-21.15914196078286","none","none","1651627586780"
"task1","minaya23","s1","477.41951735798546","-35.0951572732802","none","none","1651627586829"
"task1","minaya23","s1","506.0067285851835","34.43088513594509","none","none","1651627586919"
"task1","minaya23","s1","564.9012419053607","27.85672137343203","none","none","1651627586977"
"task1","minaya23","s1","541.9428562741268","61.475171961497395","none","none","1651627587049"
"task1","minaya23","s1","616.1735362077628","85.67102789227235","none","none","1651627587102"
"task1","minaya23","s1","603.1776443199044","157.54889348187504","none","none","1651627587157"
"task1","minaya23","s1","636.2868163750796","129.60410248426868","none","none","1651627587218"
"task1","minaya23","s1","669.0135849634505","88.21224954001914","none","none","1651627587267"
"task1","minaya23","s1","653.1369571919313","89.28575545252417","none","none","1651627587322"
"task1","minaya23","s1","638.5491549150358","93.83433486072254","none","none","1651627587383"
"task1","minaya23","s1","598.6520953681207","130.93778231003145","none","none","1651627587429"
"task1","minaya23","s1","643.6870199257123","115.06640556852807","none","none","1651627587502"
"task1","minaya23","s1","650.7562262841697","175.28296781476786","none","none","1651627587553"
"task1","minaya23","s1","645.9996573262846","190.91875683367496","none","none","1651627587612"
"task1","minaya23","s1","620.9875542320768","140.22990944327697","none","none","1651627587680"
"task1","minaya23","s1","572.6794417324527","157.69374653908176","none","none","1651627587735"
"task1","minaya23","s1","531.5185228051598","147.01893048925012","none","none","1651627587786"
"task1","minaya23","s1","470.56943053775535","107.47730040111198","none","none","1651627587837"
"task1","minaya23","s1","491.53169297219483","119.3119832206348","none","none","1651627587891"
"task1","minaya23","s1","431.678126174196","53.84040950670003","none","none","1651627587938"
"task1","minaya23","s1","363.4266839291899","20.2825738672669","none","none","1651627587989"
"task1","minaya23","s1","393.5173268545628","-4.946204314731968","none","none","1651627588037"
"task1","minaya23","s1","454.62624985647636","-25.32615968399036","none","none","1651627588098"
"task1","minaya23","s1","400.0571672165702","34.241045468449954","none","none","1651627588143"
"task1","minaya23","s1","419.06393656919363","183.56832159107495","none","none","1651627588203"
"task1","minaya23","s1","428.9276964635874","322.5862371803231","none","none","1651627588263"
"task1","minaya23","s1","459.5131203561616","448.6567967637674","hat","L","1651627588323"
"task1","minaya23","s1","464.9952085539127","538.3844886311045","hat","L","1651627588383"
"task1","minaya23","s1","539.0739550168779","628.4195133088912","none","none","1651627588431"
"task1","minaya23","s1","535.0031469415627","709.1472140046177","none","none","1651627588495"
"task1","minaya23","s1","579.1966362374854","737.9428008219021","none","none","1651627588564"
"task1","minaya23","s1","602.1296433438307","796.3318158601459","none","none","1651627588621"
"task1","minaya23","s1","604.8264013049861","802.2209401825813","none","none","1651627588677"
"task1","minaya23","s1","513.7535370310961","623.2040770676826","none","none","1651627588742"
